"name_ovd","address","coordinate_google","coordinate_yandex"
"Салават | ФКУ «ИК № 2 УФСИН по Республике Башкортостан»","Станция Южная, Салават, Башкортостан, 453256","53.389049,55.888543","53.387893,55.893141"
"Уфа | ФКУ «ИК № 3 УФСИН по Республике Башкортостан»","ул. Советов, 54, Уфа, Респ. Башкортостан, Россия, 450069","54.789468,56.235619","54.789436,56.235597"
"Уфа | ФКУ «ИК № 13 УФСИН по Республике Башкортостан»","Индустриальная ш., 32, Уфа, Респ. Башкортостан, Россия, 450061","54.804645,56.087977","54.468668,55.823593"
"Салават | ФКУ «ИК № 16 УФСИН по Республике Башкортостан»","153 км трассы P240, г. Салават, Республика Башкортостан, 453256","53.3493,55.845193","53.407775,55.836951"
"ФКУ СИЗО-1 УФСИН России по Республике Башкортостан | Республика Башкортостан","ул. Достоевского, 39, Уфа, Респ. Башкортостан, Россия, 450015","54.735308,55.940614","54.735308,55.940617"
"ФКУ СИЗО-2 УФСИН России по Республике Башкортостан | Республика Башкортостан","улица С. Тюленина, 34, Белорецк, Республика Башкортостан, 435500","53.967553,58.410072","53.954844,58.384547"
"ФКУ СИЗО-3 УФСИН России по Республике Башкортостан | Республика Башкортостан","Комсомольская ул., 7, Стерлитамак, Респ. Башкортостан, Россия, 453124","53.614144,55.958743","53.613921,55.958422"
"ФКУ СИЗО-4 УФСИН России по Республике Башкортостан | Республика Башкортостан","улица Худайбердина, дом 7, г. Бирск, Республика Башкортостан, 452450","55.425912,55.528095","55.427637,55.53094"
"ФКУ СИЗО-5 ГУФСИН России по Республике Башкортостан | Республика Башкортостан","ул. Промзона, с. Иванаево, Башкортостан, 452308","55.495944,54.813085","55.499147,54.80335"
"Алексеевка | ФКУ «ИК № 4 УФСИН по Белгородской области»","ул. Привокзальная, 2, Алексеевка, Белгородская обл., Россия, 309850","50.62077,38.6617","50.61864,38.669886"
"Белгород | ФКУ «ИК № 5 УФСИН по Белгородской области»","ул. Волчанская, 286, Белгород, Белгородская обл., Россия, 308006","50.560245,36.640655","50.560299,36.640672"
"Валуйки | ФКУ «ИК № 6 УФСИН по Белгородской области»","улица Тимирязева, 1А, Валуйки, Белгородская область, 309996","50.212127,38.121203","50.215125,38.131004"
"Валуйки | ФКУ «ИК № 7 УФСИН по Белгородской области»","ул. Тимирязева, 3, Валуйки, Белгородская обл., Россия, 309996","50.212001,38.123544","50.212243,38.123342"
"ФКУ СИЗО-2 УФСИН России по Белгородской области | Белгородская область","ул.Ленина, д. 7, г. Старый Оскол, Белгородская область, 309514","50.83569,37.235839","51.293,37.840714"
"ФКУ СИЗО-3 УФСИН России по Белгородской области | Белгородская область","улица Константина Заслонова, 169А, Белгород, 308017","50.594801,36.663625","50.601035,36.665116"
"Брянск | ФКУ «ИК № 1 УФСИН по Брянской области»","улица Комарова, 30, Брянск, Брянская обл., Россия, 241022","53.262353,34.394188","53.26231,34.394175"
"Брянск | ФКУ «ИК № 2 УФСИН по Брянской области»","ул. Котовского, 39, Брянск, Россия, 241004","53.209557,34.432126","53.205943,34.444417"
"Стародуб | ФКУ «ИК № 5 УФСИН по Брянской области»","ул. Семашко, 4, Стародуб, Брянская обл., Россия, 243240","52.593704,32.763626","52.593752,32.764137"
"Клинцы | ФКУ «ИК № 6 УФСИН по Брянской области»","2-я Парковая улица, 2, Клинцы, Брянская область, 243140","52.742881,32.210497","52.742465,32.206885"
"Сураж | ФКУ «КП № 3 УФСИН по Брянской области»","Лесная улица, 3, Сураж, Брянская область, 243500","53.000585,32.405362","53.001147,32.408341"
"ФКУ СИЗО-1 УФСИН России по Брянской области | Брянская область","ул. Советская, 2А, Брянск, Брянская обл., Россия, 241050","53.247039,34.355976","53.246789,34.355825"
"ФКУ СИЗО-2 УФСИН России по Брянской области | Брянская область","Красная площадь, 9, Новозыбков, Брянская область, 243020","52.541022,31.921402","52.541061,31.921355"
"Гусиноозерск | ФКУ «ИК № 1 УФСИН России по Республике Бурятия»","г. Гусиноозерск, Бурятия, 671160","51.281687,106.532657","51.285453,106.52953"
"Улан-Удэ | ФКУ «ИК № 8 УФСИН России по Республике Бурятия»","Спиртзаводской тракт, 4 км., Улан-Удэ, Респ. Бурятия, Россия, 670033","51.550963,107.658899","51.796453,107.748337"
"ФКУ СИЗО-1 УФСИН России по Республике Бурятия | Республика Бурятия","Пристанская ул., 4, Улан-Удэ, Респ. Бурятия, Россия, 670000","51.842115,107.572845","51.841086,107.574567"
"п. Головино | ФКУ «ИК № 1 УФСИН по Владимирской области»","Советская улица, 50А, посёлок Головино, Владимирская область, 601395","56.182555,41.472259","55.948503,40.439917"
